185.18.254.129,377,377,377
2.78.57.9,335,339,340
94.141.68.249,,,
185.211.130.193,391,391,391
212.72.141.89,342,342,342
92.241.86.93,349,349,349
31.146.183.221,348,348,349
212.72.141.113,345,345,345
94.20.54.53,353,353,354
185.40.34.177,356,356,356
89.147.204.169,357,359,360
80.76.167.145,404,404,404
109.224.4.113,343,346,349
109.224.5.249,341,343,345
213.175.175.81,,,
185.100.171.137,303,303,303
31.25.137.121,370,391,432
213.178.231.193,342,342,342
95.140.200.137,351,354,360
203.170.77.69,208,208,209
110.93.195.45,193,193,193
62.231.30.105,323,324,325
83.220.51.89,287,287,287
194.186.187.205,327,327,327
178.124.157.161,315,315,315
195.22.229.201,319,320,320
46.61.162.1,274,274,275
87.229.232.161,323,324,325
195.239.222.233,321,322,323
81.23.2.161,287,308,323
194.186.199.117,442,442,443
82.162.138.81,138,140,142
136.144.44.237,289,289,289
136.144.46.5,300,300,300
172.27.128.125,,,
51.211.165.252,361,361,362
194.183.179.125,315,315,315
193.111.50.118,322,322,322
81.218.24.17,341,341,341
192.117.13.17,341,341,341
213.135.93.73,325,325,325
212.113.97.89,288,288,288
195.239.117.177,327,327,327
